"","file_identifiers","A.identifier","biosample","batch.extraction","irf.study.id","id.cohort","id.individual","tissue","data.received","dn.rna","date.broad.extract","quant.18s","quant.18s.sd","quant.kulesh","quant.kulesh.sd","rin.e","rna.conc.ng.uL","lib.conc.pmolar","xgen.index","Assigned","Unassigned_Unmapped","Unassigned_Read_Type","Unassigned_Singleton","Unassigned_MappingQuality","Unassigned_Chimera","Unassigned_FragmentLength","Unassigned_Duplicate","Unassigned_MultiMapping","Unassigned_Secondary","Unassigned_NonSplit","Unassigned_NoFeatures","Unassigned_Overlapping_Length","Unassigned_Ambiguity","sub.tissue","SampleType","study.group","challenge.group","animal.number","animal.tatoo","sex","weight","birth.date","viralReadCount","hostReadCount","pc.viral.reads","cohort.uncertain","cohort.numeric","totalReadCount","totalUnassigned","chrY_count","chrX_count","total_count","Xist","sex.1","pc_Y","pc_X","Y_X_ratio","sex_pred","chrY_count.1","chrX_count.1","total_count.1","Xist.1","sex.2","pc_Y.1","pc_X.1","Y_X_ratio.1","sex_pred.1","pred_recorded_sex_mismatch","dpi_time","dpi_time_factor","chrY_count.2","chrX_count.2","chrY_count.3","chrX_count.3","xist_counts","predicted_sex","pred_rec_sex_mismatch","dpi_time_numeric","infected"
"A0016_S123_L002","A0016_S123_L002","A0016","RA0850_Kidney","C, ABCDE","49-E2","D004","RA0850","Kidney",2019-01-10,"RA0850_Kidney_dnRNA","2019-03-27, 2020-03-14",8.67e+09,2.67e+09,1.27,0.131,2.2,167,NA,NA,6992981,0,0,0,0,0,0,0,2701618,0,0,5144345,0,642736,"","Experimental","4_dpe_scheduled",4,"NHP20","RA0850","M",9.46,"11/21/2011",1,6992980,1.43000531532976e-07,FALSE,4,6992981,8488699,3778,96521,6992981,0,"M",0.000540256008131582,0.0138025543040943,0.0391417411754955,"M",3778,96521,6992981,0,"M",0.000540256008131582,0.0138025543040943,0.0391417411754955,"M",FALSE,4,"4",3778,96521,3778,96521,0,"M",FALSE,4,"infected"
"A0018","A0018","A0018","RA0850_Adrenal","D, ABCDE","49-E2","D004","RA0850","Adrenal Gland",2019-01-10,"RA0850_Adrenal_dnRNA","2019-04-09, 2020-03-14",1.47e+08,2330000,30.8,4.68,3.4,278,2990,49,147469,0,0,0,0,0,0,0,46677,0,0,287743,0,19492,"","Experimental","4_dpe_scheduled",4,"NHP20","RA0850","M",9.46,"11/21/2011",1,147468,6.78108619438662e-06,FALSE,4,147469,353912,153,3773,147469,0,"M",0.00103750618774115,0.0255850382114207,0.0405512854492446,"M",153,3773,147469,0,"M",0.00103750618774115,0.0255850382114207,0.0405512854492446,"M",FALSE,4,"4",153,3773,153,3773,0,"M",FALSE,4,"infected"
"A0020_S88_L002","A0020_S88_L002","A0020","RA0850_Brain-Gr","C, ABCDE","49-E2","D004","RA0850","Brain",2019-01-10,"RA0850_Brain-Gr_dnRNA","2019-03-27, 2020-03-14",1.14e+09,7.63e+08,0.187,0.059,3.8,89.4,NA,NA,5957750,0,0,0,0,0,0,0,798886,0,0,9022582,0,267959,"Brain-Gr","Experimental","4_dpe_scheduled",4,"NHP20","RA0850","M",9.46,"11/21/2011",1,5957749,1.67848600562293e-07,FALSE,4,5957750,10089427,3085,158421,5957750,0,"M",0.000517812932734673,0.026590743149679,0.0194734283964878,"M",3085,158421,5957750,0,"M",0.000517812932734673,0.026590743149679,0.0194734283964878,"M",FALSE,4,"4",3085,158421,3085,158421,0,"M",FALSE,4,"infected"
"A0022_S185_L002","A0022_S185_L002","A0022","RA0850_LN-AX-R","I","49-E2","D004","RA0850","Lymph node",2019-01-10,"RA0850_LN-AX-R_dnRNA-L","2019-10-09",8.95e+09,1.97e+09,228,48.3,NA,NA,NA,NA,7689908,0,0,0,0,0,0,0,549336,0,0,10249406,0,908281,"","Experimental","4_dpe_scheduled",4,"NHP20","RA0850","M",9.46,"11/21/2011",37,7689871,4.81150099585067e-06,FALSE,4,7689908,11707023,7439,202163,7689908,0,"M",0.000967371781300895,0.0262893912384908,0.0367970400122673,"M",7439,202163,7689908,0,"M",0.000967371781300895,0.0262893912384908,0.0367970400122673,"M",FALSE,4,"4",7439,202163,7439,202163,0,"M",FALSE,4,"infected"
"A0023_S184_L002","A0023_S184_L002","A0023","RA0850_LN-ING-L","I","49-E2","D004","RA0850","Lymph node",2019-01-10,"RA0850_LN-ING-L_dnRNA-L","2019-10-09",3.38e+09,7e+08,68.7,8.5,NA,NA,NA,NA,8445562,0,0,0,0,0,0,0,828881,0,0,10221783,0,1614758,"","Experimental","4_dpe_scheduled",4,"NHP20","RA0850","M",9.46,"11/21/2011",31,8445531,3.67056686103305e-06,FALSE,4,8445562,12665422,7331,205450,8445562,0,"M",0.000868029859943009,0.02432638585804,0.0356826478461913,"M",7331,205450,8445562,0,"M",0.000868029859943009,0.02432638585804,0.0356826478461913,"M",FALSE,4,"4",7331,205450,7331,205450,0,"M",FALSE,4,"infected"
"A0024_S183_L002","A0024_S183_L002","A0024","RA0850_LN-MES","I","49-E2","D004","RA0850","Lymph node",2019-01-10,"RA0850_LN-MES_dnRNA-L","2019-10-09",8.8e+09,4.84e+09,46.9,4.87,NA,NA,NA,NA,6581152,0,0,0,0,0,0,0,405815,0,0,5255095,0,6286018,"","Experimental","4_dpe_scheduled",4,"NHP20","RA0850","M",9.46,"11/21/2011",7,6581145,1.06364356878553e-06,FALSE,4,6581152,11946928,4382,146321,6581152,0,"M",0.000665840874059739,0.0222333415183238,0.0299478543749701,"M",4382,146321,6581152,0,"M",0.000665840874059739,0.0222333415183238,0.0299478543749701,"M",FALSE,4,"4",4382,146321,4382,146321,0,"M",FALSE,4,"infected"
"A0025","A0025","A0025","RA0850_LNG-CD-R","J","49-E2","D004","RA0850","Lung",2019-01-10,"RA0850_LNG-CD-R_dnRNA-L","2019-10-16",7.84e+09,2.05e+09,0.103,0.043,4,305,1210,3,269261,0,0,0,0,0,0,0,170101,0,0,245042,0,11467,"","Experimental","4_dpe_scheduled",4,"NHP20","RA0850","M",9.46,"11/21/2011",2,269259,7.42773739977197e-06,FALSE,4,269261,426610,123,3791,269261,0,"M",0.000456805850085976,0.0140792762412678,0.0324452651015563,"M",123,3791,269261,0,"M",0.000456805850085976,0.0140792762412678,0.0324452651015563,"M",FALSE,4,"4",123,3791,123,3791,0,"M",FALSE,4,"infected"
"A0029_S119_L002","A0029_S119_L002","A0029","RA0717_Spleen","M","49-E2","D004","RA0717","Spleen",2019-01-10,"RA0717_Spleen_dnRNA","2020-02-07",1.37e+08,5020000,375000,23400,NA,NA,NA,NA,7724885,0,0,0,0,0,0,0,439679,0,0,7926850,0,1667239,"","Experimental","4_dpe_scheduled",4,"NHP19","RA0717","F",6.1,"10/21/2011",137941,7586944,0.017856705957435,FALSE,4,7724885,10033768,88,192686,7724885,620,"F",1.13917553465197e-05,0.0249435428488579,0.000456701576658398,"F",88,192686,7724885,620,"F",1.13917553465197e-05,0.0249435428488579,0.000456701576658398,"F",FALSE,4,"4",88,192686,88,192686,620,"F",FALSE,4,"infected"
"A0030_S122_L002","A0030_S122_L002","A0030","RA0717_Kidney","C, ABCDE","49-E2","D004","RA0717","Kidney",2019-01-10,"RA0717_Kidney_dnRNA","2019-03-27, 2020-03-14",4.51e+09,1.49e+09,20.2,1.6,2.9,123,NA,NA,5718888,0,0,0,0,0,0,0,2709013,0,0,3313860,0,676571,"","Experimental","4_dpe_scheduled",4,"NHP19","RA0717","F",6.1,"10/21/2011",174,5718714,3.04254953060805e-05,FALSE,4,5718888,6699444,59,60685,5718888,281,"F",1.03166909371192e-05,0.0106113286359166,0.00097223366565049,"F",59,60685,5718888,281,"F",1.03166909371192e-05,0.0106113286359166,0.00097223366565049,"F",FALSE,4,"4",59,60685,59,60685,281,"F",FALSE,4,"infected"
"A0034_S87_L002","A0034_S87_L002","A0034","RA0717_Brain-Gr","C, ABCDE","49-E2","D004","RA0717","Brain",2019-01-10,"RA0717_Brain-Gr_dnRNA","2019-03-27, 2020-03-14",1.19e+08,18100000,4.72,0.189,3.1,130,NA,NA,7721783,0,0,0,0,0,0,0,894148,0,0,13510074,0,303068,"Brain-Gr","Experimental","4_dpe_scheduled",4,"NHP19","RA0717","F",6.1,"10/21/2011",8,7721775,1.03603015003141e-06,FALSE,4,7721783,14707290,101,206938,7721783,1292,"F",1.30798806441466e-05,0.0267992508984,0.000488068890198997,"F",101,206938,7721783,1292,"F",1.30798806441466e-05,0.0267992508984,0.000488068890198997,"F",FALSE,4,"4",101,206938,101,206938,1292,"F",FALSE,4,"infected"
"A0036_S182_L002","A0036_S182_L002","A0036","RA0717_LN-AX-R","I","49-E2","D004","RA0717","Lymph node",2019-01-10,"RA0717_LN-AX-R_dnRNA-L","2019-10-09",1.05e+09,9.75e+08,743,37.3,NA,NA,NA,NA,5894369,0,0,0,0,0,0,0,717230,0,0,10421373,0,133586,"","Experimental","4_dpe_scheduled",4,"NHP19","RA0717","F",6.1,"10/21/2011",44,5894325,7.46475152811098e-06,FALSE,4,5894369,11272189,193,166540,5894369,1483,"F",3.27431146573959e-05,0.0282540845339001,0.00115888074936952,"F",193,166540,5894369,1483,"F",3.27431146573959e-05,0.0282540845339001,0.00115888074936952,"F",FALSE,4,"4",193,166540,193,166540,1483,"F",FALSE,4,"infected"
"A0037_S181_L002","A0037_S181_L002","A0037","RA0717_LN-ING-L","I","49-E2","D004","RA0717","Lymph node",2019-01-10,"RA0717_LN-ING-L_dnRNA-L","2019-10-09",3.34e+09,8.1e+08,1450,43.3,NA,NA,NA,NA,8828327,0,0,0,0,0,0,0,1036489,0,0,11121785,0,375970,"","Experimental","4_dpe_scheduled",4,"NHP19","RA0717","F",6.1,"10/21/2011",59,8828268,6.68303292345197e-06,FALSE,4,8828327,12534244,277,219533,8828327,1266,"F",3.13762732168847e-05,0.024866885877698,0.00126176930119845,"F",277,219533,8828327,1266,"F",3.13762732168847e-05,0.024866885877698,0.00126176930119845,"F",FALSE,4,"4",277,219533,277,219533,1266,"F",FALSE,4,"infected"
"A0038_S180_L002","A0038_S180_L002","A0038","RA0717_LN-MES","I","49-E2","D004","RA0717","Lymph node",2019-01-10,"RA0717_LN-MES_dnRNA-L","2019-10-09",2.7e+09,2.19e+09,5460,144,NA,NA,NA,NA,6117687,0,0,0,0,0,0,0,1885860,0,0,6315625,0,408021,"","Experimental","4_dpe_scheduled",4,"NHP19","RA0717","F",6.1,"10/21/2011",2256,6115431,0.000368766823147376,FALSE,4,6117687,8609506,293,112494,6117687,563,"F",4.78939180772079e-05,0.0183883222531653,0.00260458335555674,"F",293,112494,6117687,563,"F",4.78939180772079e-05,0.0183883222531653,0.00260458335555674,"F",FALSE,4,"4",293,112494,293,112494,563,"F",FALSE,4,"infected"
"A0043_S118_L002","A0043_S118_L002","A0043","RA0700_Spleen","M","49-E2","D007","RA0700","Spleen",2019-01-10,"RA0700_Spleen_dnRNA","2020-02-07",48400000,8840000,344000,27100,NA,NA,NA,NA,4062100,0,0,0,0,0,0,0,1318957,0,0,988145,0,114670,"","Experimental","terminal_routine_manipulations",2,"NHP7","RA0700","F",5.48,"5/12/2011",1798430,2263670,0.442734053814529,FALSE,7,4062100,2421772,53,32486,4062100,90,"F",1.30474385170232e-05,0.00799734127667955,0.00163147201871575,"F",53,32486,4062100,90,"F",1.30474385170232e-05,0.00799734127667955,0.00163147201871575,"F",FALSE,7,"7",53,32486,53,32486,90,"F",FALSE,7,"infected"
"A0043_S69_L002","A0043_S69_L002","A0043","RA0700_Spleen","M","49-E2","D007","RA0700","Spleen",2019-01-10,"RA0700_Spleen_dnRNA","2020-02-07",48400000,8840000,344000,27100,NA,NA,NA,NA,4561808,0,0,0,0,0,0,0,1557414,0,0,1087860,0,125426,"","Experimental","terminal_routine_manipulations",2,"NHP7","RA0700","F",5.48,"5/12/2011",1948810,2612998,0.427201232493783,FALSE,7,4561808,2770700,81,36733,4561808,119,"F",1.77561177498045e-05,0.0080522897938712,0.00220510167968856,"F",81,36733,4561808,119,"F",1.77561177498045e-05,0.0080522897938712,0.00220510167968856,"F",FALSE,7,"7",81,36733,81,36733,119,"F",FALSE,7,"infected"
"A0044_S121_L002","A0044_S121_L002","A0044","RA0700_Kidney","C, ABCDE","49-E2","D007","RA0700","Kidney",2019-01-10,"RA0700_Kidney_dnRNA","2019-03-27, 2020-03-14",2.7e+09,6.38e+08,564,182,1,67.7,NA,NA,3748452,0,0,0,0,0,0,0,1389468,0,0,2180169,0,356827,"","Experimental","terminal_routine_manipulations",2,"NHP7","RA0700","F",5.48,"5/12/2011",91376,3657076,0.0243769961573471,FALSE,7,3748452,3926464,43,39638,3748452,42,"F",1.14714020614376e-05,0.0105744984863085,0.00108481759927342,"F",43,39638,3748452,42,"F",1.14714020614376e-05,0.0105744984863085,0.00108481759927342,"F",FALSE,7,"7",43,39638,43,39638,42,"F",FALSE,7,"infected"
"A0048_S86_L002","A0048_S86_L002","A0048","RA0700_Brain-Gr","C, ABCDE","49-E2","D007","RA0700","Brain",2019-01-10,"RA0700_Brain-Gr_dnRNA","2019-03-27, 2020-03-14",5.96e+09,4.28e+09,167,9.06,3.5,112,NA,NA,5852314,0,0,0,0,0,0,0,657440,0,0,7472187,0,226314,"Brain-Gr","Experimental","terminal_routine_manipulations",2,"NHP7","RA0700","F",5.48,"5/12/2011",974,5851340,0.000166429894226455,FALSE,7,5852314,8355941,112,174566,5852314,1312,"F",1.91377291102289e-05,0.0298285430344305,0.000641591146042185,"F",112,174566,5852314,1312,"F",1.91377291102289e-05,0.0298285430344305,0.000641591146042185,"F",FALSE,7,"7",112,174566,112,174566,1312,"F",FALSE,7,"infected"
"A0050_S179_L002","A0050_S179_L002","A0050","RA0700_LN-AX-R","I","49-E2","D007","RA0700","Lymph node",2019-01-10,"RA0700_LN-AX-R_dnRNA-L","2019-10-09",216,80.5,NA,NA,NA,NA,NA,NA,9163389,0,0,0,0,0,0,0,533119,0,0,7463115,0,3101067,"","Experimental","terminal_routine_manipulations",2,"NHP7","RA0700","F",5.48,"5/12/2011",50224,9113165,0.0054809416035923,FALSE,7,9163389,11097301,166,235484,9163389,690,"F",1.81155683775948e-05,0.025698352432708,0.000704931120585687,"F",166,235484,9163389,690,"F",1.81155683775948e-05,0.025698352432708,0.000704931120585687,"F",FALSE,7,"7",166,235484,166,235484,690,"F",FALSE,7,"infected"
"A0051_S178_L002","A0051_S178_L002","A0051","RA0700_LN-ING-L","I","49-E2","D007","RA0700","Lymph node",2019-01-10,"RA0700_LN-ING-L_dnRNA-L","2019-10-09",6.75e+09,5.5e+09,903000,84800,NA,NA,NA,NA,7148607,0,0,0,0,0,0,0,1416026,0,0,7769543,0,507753,"","Experimental","terminal_routine_manipulations",2,"NHP7","RA0700","F",5.48,"5/12/2011",144577,7004030,0.0202244996822458,FALSE,7,7148607,9693322,140,158910,7148607,1025,"F",1.95842350824433e-05,0.0222295056925076,0.000881001824932352,"F",140,158910,7148607,1025,"F",1.95842350824433e-05,0.0222295056925076,0.000881001824932352,"F",FALSE,7,"7",140,158910,140,158910,1025,"F",FALSE,7,"infected"
"A0052_S177_L002","A0052_S177_L002","A0052","RA0700_LN-MES","I","49-E2","D007","RA0700","Lymph node",2019-01-10,"RA0700_LN-MES_dnRNA-L","2019-10-09",9.1e+09,6.3e+09,276000,39600,NA,NA,NA,NA,9954924,0,0,0,0,0,0,0,1050158,0,0,8597670,0,780226,"","Experimental","terminal_routine_manipulations",2,"NHP7","RA0700","F",5.48,"5/12/2011",44401,9910523,0.00446020481924322,FALSE,7,9954924,10428054,152,251933,9954924,1047,"F",1.52688257589912e-05,0.0253073755259206,0.000603335013674271,"F",152,251933,9954924,1047,"F",1.52688257589912e-05,0.0253073755259206,0.000603335013674271,"F",FALSE,7,"7",152,251933,152,251933,1047,"F",FALSE,7,"infected"
"A0055_S46_L001","A0055_S46_L001","A0055","RA0700_Skin-Rash","E, ABCDE","49-E2","D007","RA0700","Skin",2019-01-10,"RA0700_Skin-Rash_dnRNA","2019-05-08, 2020-03-14",9.04e+09,2.41e+09,120,38.7,NA,NA,3300,29,3374767,0,0,0,0,0,0,0,229346,0,0,3610687,0,105192,"Rash","Experimental","terminal_routine_manipulations",2,"NHP7","RA0700","F",5.48,"5/12/2011",5455,3369312,0.00161640788830755,FALSE,7,3374767,3945225,119,54538,3374767,819,"F",3.52616936221078e-05,0.016160523082038,0.00218196486853203,"F",119,54538,3374767,819,"F",3.52616936221078e-05,0.016160523082038,0.00218196486853203,"F",FALSE,7,"7",119,54538,119,54538,819,"F",FALSE,7,"infected"
"A0056_S45_L001","A0056_S45_L001","A0056","RA0700_Skin-Non-Rash","E, ABCDE","49-E2","D007","RA0700","Skin",2019-01-10,"RA0700_Skin-Non-Rash_dnRNA","2019-05-08, 2020-03-14",2.4e+10,6.93e+09,125,52.8,5.5,18.2,15300,30,1620083,0,0,0,0,0,0,0,118747,0,0,1559558,0,60584,"Non-Rash","Experimental","terminal_routine_manipulations",2,"NHP7","RA0700","F",5.48,"5/12/2011",693,1619390,0.000427755861891027,FALSE,7,1620083,1738889,26,27013,1620083,394,"F",1.6048560474988e-05,0.0166738370811866,0.000962499537259838,"F",26,27013,1620083,394,"F",1.6048560474988e-05,0.0166738370811866,0.000962499537259838,"F",FALSE,7,"7",26,27013,26,27013,394,"F",FALSE,7,"infected"
"A0057_S117_L002","A0057_S117_L002","A0057","RA0223_Spleen","M","49-E2","D003","RA0223","Spleen",2019-01-10,"RA0223_Spleen_dnRNA","2020-02-07",1.49e+08,59500000,432,21.6,NA,NA,NA,NA,6939087,0,0,0,0,0,0,0,524194,0,0,7873996,0,1238828,"","Experimental","3_dpe_scheduled",3,"NHP13","RA0223","M",10.14,"4/15/2012",120,6938967,1.72933413286215e-05,FALSE,3,6939087,9637018,5583,166104,6939087,0,"M",0.000804572705314114,0.0239374430670778,0.0336114723305881,"M",5583,166104,6939087,0,"M",0.000804572705314114,0.0239374430670778,0.0336114723305881,"M",FALSE,3,"3",5583,166104,5583,166104,0,"M",FALSE,3,"infected"
"A0058_S120_L002","A0058_S120_L002","A0058","RA0223_Kidney","C, ABCDE","49-E2","D003","RA0223","Kidney",2019-01-10,"RA0223_Kidney_dnRNA","2019-03-27, 2020-03-14",2.21e+09,1.87e+09,0.582,0.161,3.5,83.4,NA,NA,4867137,0,0,0,0,0,0,0,1038202,0,0,5948604,0,311716,"","Experimental","3_dpe_scheduled",3,"NHP13","RA0223","M",10.14,"4/15/2012",1,4867136,2.05459595651407e-07,FALSE,3,4867137,7298522,3364,100010,4867137,0,"M",0.000691166079771332,0.0205480141610972,0.0336366363363664,"M",3364,100010,4867137,0,"M",0.000691166079771332,0.0205480141610972,0.0336366363363664,"M",FALSE,3,"3",3364,100010,3364,100010,0,"M",FALSE,3,"infected"
